[Header]
TITLE,hc_sample_12232020_1p8_300K.dat
BYAPP,HeatCapacity,3.8.14,1.7
INFO,1,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
31059192.14,CALFILE: Puck967.cal - Addenda #129 measured on 12/23/2020 from 1.9147 to 302.39 K
31059192.28,,5905,1.89939,1.9013,-0.005,9.3E-6,1.916355,0.028203307,22.194085,0.03615,0.33150647,0.001959,22.525591,0.03615,0.99393064,9.9034838,0.0015652936,98.898555,0,0,1,,,,2.2991E-6,19.27578,3.6724165,11.581406,0
31059279.34,,5905,1.89942,1.9024,-0.005,9.3E-6,1.9168992,0.028974483,22.164359,0.0228,0.33168547,0.00196,22.496044,0.0228,0.1706499,10.048813,0.0016455824,98.860473,0,0,1,,,,2.2637E-6,19.80697,3.6745027,11.56261,0
31059366.45,,5905,1.89939,1.9028,-0.005,9.3E-6,1.9171518,0.029369126,22.2375,0.04194,0.33180551,0.00196,22.569306,0.04194,0.86940412,10.247569,0.0015907249,98.917331,0,0,1,,,,2.2258E-6,20.09763,3.6754712,11.599238,0
31059731.61,,5905,2.29172,2.2948,-0.005,9.3E-6,2.3045965,0.019241309,32.248166,0.1196,0.48954299,0.003052,32.737709,0.1196,0.87324576,7.2780099,0.0018309672,98.263673,0,0,1,,,,4.5753E-6,12.94208,5.3111649,13.992977,0
31059802.16,,5905,2.29179,2.2951,-0.005,9.3E-6,2.305773,0.02107254,32.605561,0.06758,0.49011666,0.003057,33.095678,0.06758,0.38059143,7.7713954,0.0018631494,98.330491,0,0,1,,,,4.3289E-6,14.55602,5.3165893,14.140837,0
31059876.95,,5905,2.29215,2.2937,-0.005,9.3E-6,2.3064827,0.022483986,32.604014,0.06662,0.49054826,0.00306,33.094562,0.06662,0.31960799,8.3880306,0.0025928046,97.83922,0,0,1,,,,4.03E-6,15.54279,5.3198626,14.135815,0
31060222.61,,5905,2.68124,2.6879,-0.005,9.3E-6,2.6951189,0.018447077,42.794329,0.2134,0.71253404,0.00456,43.506863,0.2134,0.45054159,6.6732537,0.0020532914,98.054528,0,0,1,,,,6.6448E-6,12.27836,7.2636659,15.878457,0
31060290.27,,5905,2.68192,2.6883,-0.005,9.3E-6,2.6963947,0.020050629,42.764272,0.107,0.71350881,0.004565,43.477781,0.107,0.16535855,7.2356519,0.0023242356,97.971434,0,0,1,,,,6.1292E-6,13.34651,7.2705444,15.859797,0
31060359.88,,5905,2.68232,2.6871,-0.005,9.3E-6,2.6976638,0.021720915,43.029116,0.08604,0.71450766,0.004571,43.743624,0.08604,0.74010555,7.9357564,0.0025050888,97.997739,0,0,1,,,,5.6212E-6,14.4713,7.2773898,15.950511,0
31060633.81,,5905,3.07269,3.0831,-0.005,9.2E-6,3.087678,0.022198929,53.68945,0.1687,1.0116462,0.005632,54.701096,0.1687,0.22838251,6.706616,0.0025099013,97.897217,0,0,1,,,,8.3251E-6,15.87151,9.5337555,17.388293,0
31060701.03,,5905,3.07325,3.0853,-0.005,9.3E-6,3.0877724,0.021579995,53.24962,0.1581,1.0122408,0.005633,54.261861,0.1581,0.23875551,7.7763488,0.0032418232,97.672493,0,0,1,,,,7.138E-6,13.41323,9.5343387,17.245319,0
31060774.03,,5905,3.07374,3.0833,-0.005,9.4E-6,3.0898038,0.024593343,53.25852,0.1001,1.0141549,0.005636,54.272675,0.1001,0.17018011,8.5024492,0.0029807368,98.052994,0,0,1,,,,6.5053E-6,15.5527,9.5468876,17.236861,0
31061052.13,,5905,3.46318,3.4772,-0.005,9.2E-6,3.4814047,0.026748401,63.552304,0.1713,1.404637,0.006202,64.956941,0.1713,0.40045621,7.9594473,0.0035677353,97.838474,0,0,1,,,,8.3337E-6,17.0049,12.120179,18.254788,0
31061126.69,,5905,3.46435,3.4766,-0.005,9.4E-6,3.4824556,0.027150583,63.368289,0.1424,1.4063912,0.006204,64.77468,0.1424,0.13921773,8.8926936,0.0033982517,98.170224,0,0,1,,,,7.414E-6,15.91889,12.127497,18.196439,0
31061206.36,,5905,3.46467,3.4785,-0.005,9.3E-6,3.4847619,0.03008336,63.656337,0.09378,1.4092531,0.006208,65.06559,0.09378,0.32030481,9.7443989,0.0033765337,98.339469,0,0,1,,,,6.7852E-6,17.78539,12.143565,18.267055,0
31061493.27,,5905,3.85501,3.873,-0.005,9.3E-6,3.8769493,0.033228728,73.477891,0.1398,1.8981576,0.007003,75.376048,0.1398,0.42383118,9.3084219,0.0050285717,97.75378,0,0,1,,,,8.2745E-6,19.4888,15.030736,18.952502,0
31061576.56,,5905,3.85565,3.8747,-0.005,9.2E-6,3.8785866,0.034026059,73.379444,0.1278,1.9011522,0.007008,75.280597,0.1278,0.43104117,10.256949,0.0042278751,98.299421,0,0,1,,,,7.4602E-6,18.61684,15.043434,18.91912,0
31061666.42,,5905,3.85676,3.875,-0.005,9.4E-6,3.8811038,0.037401349,73.546294,0.1138,1.9049677,0.007015,75.451262,0.1138,0.35791022,11.175344,0.0039099652,98.559618,0,0,1,,,,6.8454E-6,20.5139,15.062967,18.949839,0
