[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3890744808.53825,04/15/2023,6:26 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Eu5In2Sb6_TBe339_16p06mg_MPMS_MvH_10K_aAxis_041523,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,16.06,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3890745261.31937,9.99991512298584,-0.269376069307327,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.9992790222168,10.0003547668457,-0.269376069307327,-0.269376069307327,,,4.9386625289917,,1,0,0,0,0.0020599365234375,34.7018585205078,1,1,1,9.99982833862305,0,4232058464,9.99981292088826,,,0.00544637886654588,0.000259089821321001,0.00544650257987575,0.000259094249024532,0.984293520450592,0.984655797481537,3.8826310634613,0,30,1,200,-7.64308351790532E-5,-0.247583493590355,0.0636991187930107,1,,,,,,,,,,,,,,,,
,3890745276.21017,9.99960088729858,49.8713073730469,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.9988956451416,9.99965858459473,49.8713073730469,49.8713073730469,,,4.9510006904602,,1,0,0,0,0.014190673828125,35.190616607666,1,1,1,9.99954319000244,0,4232058304,9.99935913085938,,,0.0069078474296275,0.00032861298316433,0.00690801382371525,0.000328618858527897,0.984331846237183,0.984733104705811,3.88200998306274,1.75457364548492E-6,30,1,200,-0.000369751825928688,-0.308701634407043,0.0821767076849937,1,,,,,,,,,,,,,,,,
,3890745289.61793,9.99939250946045,99.8283233642578,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.99876880645752,9.99966335296631,99.8283233642578,99.8283233642578,,,4.96232318878174,,1,0,0,0,0.021209716796875,34.7018585205078,1,1,1,9.99937725067139,0,4232058272,9.99924278259277,,,0.00800391503212545,0.000380753777522117,0.0080041122047667,0.000380760705878529,0.984375834465027,0.984793365001678,3.88177227973938,1.76087496583932E-6,30,1,200,-0.000138346396852285,-0.368391096591949,0.0961399897933006,1,,,,,,,,,,,,,,,,
,3890745303.88769,9.99922466278076,149.785339355469,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.99864006042481,9.99981784820557,149.785339355469,149.785339355469,,,4.97538042068481,,1,0,0,0,0.0014495849609375,34.7018585205078,1,1,1,9.99907779693603,0,4232058272,9.99919662475586,,,0.00901123139674557,0.000428673385302164,0.0090114659986791,0.000428681533274363,0.984288930892944,0.984742641448975,3.88118505477905,0,30,1,200,-0.00022244373394642,-0.411600738763809,0.111287616193295,1,,,,,,,,,,,,,,,,
,3890745318.14019,9.99906396865845,199.74235534668,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.99858283996582,9.99929714202881,199.74235534668,199.74235534668,,,4.98022222518921,,1,0,0,0,0.0014495849609375,34.2131004333496,1,1,1,9.99899387359619,0,4232058272,9.99897384643555,,,0.0100092621880086,0.000476151042680302,0.010009522434991,0.000476160069149225,0.984262585639954,0.984716534614563,3.88116788864136,,30,1,200,-0.000225652154767886,-0.457188963890076,0.123678684234619,1,,,,,,,,,,,,,,,,
,3890745332.51195,9.99837446212769,249.834060668945,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.99772930145264,9.99850177764893,249.834060668945,249.834060668945,,,4.98675489425659,,1,0,0,0,0.00152587890625,34.2131004333496,1,1,1,9.99838542938232,0,4232058272,9.99816265106201,,,0.0110091664425211,0.000523716942311744,0.0110094567080499,0.000523727012235748,0.984358131885529,0.984821200370789,3.88107538223267,0,30,1,200,-0.000188386184163392,-0.496671557426453,0.131379902362823,1,,,,,,,,,,,,,,,,
,3890745346.82649,9.99920129776001,299.729858398438,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.9985466003418,9.99933624267578,299.729858398438,299.729858398438,,,4.98986291885376,,1,0,0,0,0.0189971923828125,34.7018585205078,1,1,1,9.99948978424072,0,4232058336,9.99895076751709,,,0.0120061831463843,0.000571146653518217,0.0120065036036264,0.000571157806782427,0.984272539615631,0.984734654426575,3.88105058670044,0,30,1,200,1.83925149030983E-5,-0.546819746494293,0.139613017439842,1,,,,,,,,,,,,,,,,
,3890745361.11758,9.99954986572266,349.723602294922,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.99886798858643,9.99981784820557,349.723602294922,349.723602294922,,,5.00099277496338,,1,0,0,0,0.014190673828125,34.7018585205078,1,1,1,9.99973964691162,0,4232058304,9.9992883682251,,,0.0130014255775243,0.000618491707244404,0.0130017719922024,0.000618503769275543,0.984232902526855,0.984692454338074,3.8810727596283,0.0568200089037418,30,1,200,-0.000242240334046073,-0.592291712760925,0.151348501443863,1,,,,,,,,,,,,,,,,
,3890745375.43983,9.99875640869141,399.656127929687,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.99794864654541,9.99898529052734,399.656127929687,399.656127929687,,,5.00575542449951,,1,0,0,0,0.00152587890625,34.2131004333496,1,1,1,9.99856185913086,0,4232058304,9.99853229522705,,,0.0139980437045916,0.000665900228873732,0.0139984076006869,0.000665912813320394,0.98438549041748,0.984846711158752,3.88111448287964,,30,1,200,-0.0002141446020687,-0.636626183986664,0.164998859167099,1,,,,,,,,,,,,,,,,
,3890745389.6706,9.99867486953735,450.041717529297,,,6,,,,3.89491802737971,,,100,,,,,,,,,,,,,,,,,,,,,,9.99800682067871,9.99871158599854,450.041717529297,450.041717529297,,,5.0073938369751,,1,0,0,0,0.001983642578125,34.2131004333496,1,1,1,9.99897193908691,0,4232058272,9.99837284088135,,,0.0150027272695131,0.000713694501846739,0.0150031231755112,0.000713708181356279,0.984350740909576,0.984819114208221,3.88099479675293,,30,1,200,-2.31625526794232E-5,-0.682406842708588,0.17770828306675,1,,,,,,,,,,,,,,,,
