[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3890735758.18508,04/15/2023,3:55 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Eu5In2Sb6_TBe339_16p06mg_MPMS_MvT_aAxis_041523,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,16.06,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3890735933.05642,1.99844121932983,1000.27911376953,,,3,,,,3.89276242256165,,,,,,,,,,,,,,,,,,,,,,,,,1.99844121932983,1.99844121932983,1000.27911376953,1000.27911376953,,,2.92036724090576,,0,,,,,,1,1,1,1.99844121932983,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3890735943.99253,2.00086504220963,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,1.99834227561951,2.00458550453186,1000.27911376953,1000.27911376953,,,2.88009142875671,,1,0,0,0,0.021209716796875,35.190616607666,1,1,1,1.99979293346405,0,4232058272,2.00110516548157,,,0.0124097131971186,0.00059034801605779,0.0124098877937899,0.00059035490313266,0.983734667301178,0.983883082866669,3.88473343849182,0.174691915512085,30,1,200,-0.00139612052589655,-0.568332433700562,0.146407574415207,1,,,,,,,,,,,,,,,,
,3890735952.23018,2.05873107910156,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.02367115020752,2.08710813522339,1000.27911376953,1000.27911376953,,,2.9245023727417,,1,0,0,0,0.020904541015625,35.190616607666,6,1,1,2.09379100799561,0,4232058016,2.05316205024719,,,0.0125098504897483,0.00059511029889707,0.0125100441675611,0.00059511771683381,0.983896434307098,0.984084844589233,3.88376474380493,0,30,1,200,-0.00245815585367382,-0.561883926391602,0.145912855863571,1,,,,,,,,,,,,,,,,
,3890735957.27417,2.12916374206543,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.09351372718811,2.15686559677124,1000.27911376953,1000.27911376953,,,2.97542667388916,,1,0,0,0,0.020904541015625,34.7018585205078,6,1,1,2.16481375694275,0,4232058208,2.12090392112732,,,0.0126424199286398,0.000601456620802002,0.0126426804528309,0.000601467271739767,0.980188965797424,0.980335772037506,3.88395977020264,0,30,1,200,-0.00253925635479391,-0.578313529491425,0.146572455763817,1,,,,,,,,,,,,,,,,
,3890735962.35845,2.19976687431335,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.16429138183594,2.23034286499023,1000.27911376953,1000.27911376953,,,3.02612829208374,,1,0,0,0,0.0189971923828125,35.190616607666,6,1,1,2.23524236679077,0,4232058336,2.19233803749084,,,0.0127826266433504,0.000608126258054238,0.0127828739460475,0.000608136441438232,0.980240166187286,0.980372190475464,3.88442444801331,,30,1,200,-0.00265974644571543,-0.58419394493103,0.147263646125793,1,,,,,,,,,,,,,,,,
,3890735967.46124,2.27231740951538,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.23582863807678,2.30160307884216,1000.27911376953,1000.27911376953,,,3.07369589805603,,1,0,0,0,0.0014495849609375,35.190616607666,6,1,1,2.30880618095398,0,4232058176,2.26517219543457,,,0.0129329653326373,0.000615281680516112,0.0129332232636106,0.000615292299250936,0.980008721351624,0.980143427848816,3.88429069519043,,30,1,200,-0.00259350705891848,-0.590382277965546,0.159014701843262,1,,,,,,,,,,,,,,,,
,3890735972.6386,2.34585237503052,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.30868315696716,2.37618613243103,1000.27911376953,1000.27911376953,,,3.10766410827637,,1,0,0,0,0.0014495849609375,35.6793746948242,6,1,1,2.38302159309387,0,4232058400,2.33756904602051,,,0.013087148200041,0.000622621274167291,0.0130874105409365,0.000622632124553931,0.97966080904007,0.979789972305298,3.88439774513245,0,30,1,200,-0.00261659873649478,-0.59673011302948,0.15999273955822,1,,,,,,,,,,,,,,,,
,3890735977.75978,2.41849863529205,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.3828067779541,2.44894194602966,1000.27911376953,1000.27911376953,,,3.16522812843323,,1,0,0,0,0.0014495849609375,35.190616607666,6,1,1,2.45419049263,0,4232058176,2.4102870464325,,,0.0132409385017846,0.00062992794953372,0.0132411834637599,0.000629938057253149,0.980418860912323,0.980544567108154,3.88466095924377,0.000150757070514373,30,1,200,-0.00272582028992474,-0.602824687957764,0.16105929017067,1,,,,,,,,,,,,,,,,
,3890735982.81149,2.49200308322906,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.45408797264099,2.51961421966553,1000.27911376953,1000.27911376953,,,3.21271824836731,,1,0,0,0,0.0014495849609375,34.7018585205078,6,1,1,2.52991819381714,0,4232058208,2.48305859565735,,,0.0134029841911498,0.000637637174420044,0.0134032300564967,0.000637647298963601,0.980412125587463,0.980538368225098,3.88464307785034,5.7343807220459,30,1,200,-0.00292079336941242,-0.609209299087524,0.162259802222252,1,,,,,,,,,,,,,,,,
,3890735987.92406,2.56337785720825,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.52785563468933,2.57177925109863,1000.27911376953,1000.27911376953,,,3.25834989547729,,1,0,0,0,0.021209716796875,35.6793746948242,6,1,1,2.59890007972717,0,4232058208,2.54584646224976,,,0.0135724867595962,0.000645702911288854,0.0135727324149184,0.000645713107583377,0.980290412902832,0.980407834053039,3.88490676879883,0,30,1,200,-0.00293871085159481,-0.615767061710358,0.163614019751549,1,,,,,,,,,,,,,,,,
