[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875795734.05684,10/24/2022,5:55 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Eu5In2Sb6,SAMPLE_MATERIAL
INFO,Eu5In2Sb6_b_TBe339_17p17mg_b_102422,SAMPLE_COMMENT
INFO,17.17,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.68,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3875797313.59106,2.00077319145203,1000.13214111328,,,3,,,,32.4248886108398,,,,,,,,,,,,,,,,,,,,,,,,,2.00077319145203,2.00077319145203,1000.13214111328,1000.13214111328,,,2.77431559562683,,0,,,,,,5,1,1,2.00077319145203,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3875797337.76435,1.99718713760376,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,1.98905050754547,2.00070786476135,1000.13214111328,1000.13214111328,,,2.71709418296814,,1,0,0,0,0.013885498046875,34.2131004333496,1,1,1,1.99397993087769,0,2084574624,1.99887058734894,,,0.0104160216053884,0.000519600417852282,0.0104160216505061,0.000519600419991288,0.980742156505585,0.98074221611023,32.4249649047852,5.6942925453186,30,4,200,-0.00288689718581736,-4.34211826324463,0.682281196117401,1,,,,,,,,,,,,,,,,
,3875797354.54934,2.02513265609741,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.00782227516174,2.04100680351257,1000.13214111328,1000.13214111328,,,2.74190998077393,,1,0,0,0,0.013885498046875,31.7693061828613,6,1,1,2.04244303703308,0,2084574752,2.02241938114166,,,0.0104158390365766,0.000519590918545125,0.010415839595548,0.000519590934665622,0.980758011341095,0.980759203433991,32.4256896972656,0.177340388298035,30,4,200,-0.0022197796497494,-4.29642009735107,0.655756592750549,1,,,,,,,,,,,,,,,,
,3875797364.52726,2.04705214500427,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.0378680229187,2.049809217453,1000.13214111328,1000.13214111328,,,2.74691486358643,,1,0,0,0,0.013885498046875,32.2580642700195,6,1,1,2.05171632766724,0,2084574880,2.04412848949432,,,0.0104162970238618,0.000519613841369154,0.0104162988606755,0.000519613882018335,0.980759143829346,0.980764210224152,32.4265556335449,0.375683814287186,30,4,200,-0.00193099945317954,-4.32088041305542,0.629130005836487,1,,,,,,,,,,,,,,,,
,3875797374.55049,2.07193648815155,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.05180096626282,2.08962464332581,1000.13214111328,1000.13214111328,,,2.76887536048889,,1,0,0,0,0.013885498046875,31.7693061828613,6,1,1,2.09207201004028,0,2084574784,2.06817138195038,,,0.0104161541921198,0.000519606930143285,0.010416158411158,0.000519607005569798,0.980740606784821,0.980754137039185,32.4276008605957,5.69452381134033,30,4,200,-0.00170424347743392,-4.33252620697022,0.699697077274323,1,,,,,,,,,,,,,,,,
,3875797384.4522,2.11219573020935,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.09207201004028,2.13157296180725,1000.13214111328,1000.13214111328,,,2.79440665245056,,1,0,0,0,0.013885498046875,32.2580642700195,6,1,1,2.13231945037842,0,2084574624,2.10987648963928,,,0.0104161421830754,0.000519606686756639,0.0104161504831066,0.000519606784727068,0.980718910694122,0.980750441551208,32.4290390014648,0.18875789642334,30,4,200,-0.0015429804334417,-4.25227785110474,0.695064663887024,1,,,,,,,,,,,,,,,,
,3875797394.32036,2.1533191204071,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.13248205184937,2.1677827835083,1000.13214111328,1000.13214111328,,,2.82118725776672,,1,0,0,0,0.013885498046875,32.2580642700195,6,1,1,2.17415618896484,0,2084574912,2.14953102005853,,,0.0104162900494162,0.000519614063559972,0.0104163043132913,0.000519614204758056,0.980694949626923,0.980751872062683,32.4304618835449,1.02339923381805,30,4,200,-0.00126156629994512,-4.27042245864868,0.676363527774811,1,,,,,,,,,,,,,,,,
,3875797404.24569,2.19258177280426,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.1746232509613,2.2095730304718,1000.13214111328,1000.13214111328,,,2.8425817489624,,1,0,0,0,0.013885498046875,32.2580642700195,6,1,1,2.21054029464722,0,2084574560,2.19044706821442,,,0.0104160325038618,0.000519601665057253,0.0104160565619356,0.00051960196990516,0.980655491352081,0.980744779109955,32.4318733215332,0,30,4,200,-0.00119387544691563,-4.28728103637695,0.658971667289734,1,,,,,,,,,,,,,,,,
,3875797414.17517,2.22984635829926,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.21123957633972,2.2463161945343,1000.13214111328,1000.13214111328,,,2.86731433868408,,1,0,0,0,0.013885498046875,31.7693061828613,6,1,1,2.24845314025879,0,2084574496,2.22687606811523,,,0.0104159370234547,0.000519597510622341,0.0104159704102617,0.000519597874898207,0.980616331100464,0.980745911598206,32.4333076477051,1.01372134685516,30,4,200,-0.00113762565888464,-4.30330848693848,0.642288625240326,1,,,,,,,,,,,,,,,,
,3875797424.57597,2.26835823059082,1000.13214111328,,,6,,,,32.4248886108398,,,10,,,,,,,,,,,,,,,,,,,,,,2.24894213676453,2.28639554977417,1000.13214111328,1000.13214111328,,,2.89096689224243,,1,0,0,0,0.013885498046875,33.7243423461914,6,1,1,2.28777432441711,0,2084574752,2.26629331111908,,,0.0104156071730283,0.000519581220585849,0.0104156488019625,0.000519581532749506,0.980587244033814,0.980762898921967,32.4346961975098,0.3758704662323,30,4,200,-0.00100831093732268,-4.31916332244873,0.625849425792694,1,,,,,,,,,,,,,,,,
